query,intent
스크린타임이 뭐야?,0
스크린타임이 뭐지?,0
스크린타임이 무슨 뜻이야?,0
스크린타임이 뭔지 모르겠어,0
스크린타임의 정의는 뭐야?,0
스크린타임에 대해서 설명해줘,0
스크린타임에 대해서 설명해줄래?,0
스크린타임에 관해서 설명해줘,0
스크린타임에 관해서 설명해줄래?,0
스크린타임의 뜻을 모르겠어,0
스크린타임의 정확한 뜻이 궁금해,0
스크린타임은 무슨 말이야?,0
스크린타임이 뭘 의미하는 거야?,0
스크린타임에 대해서 설명해줘,0
스크린타임에 대해서 설명해줄래?,0
스크린타임에 대해서 설명해줄 수 있어?,0
스크린타임에 대해 자세히 알고 싶어,0
스크린타임이 어떤 것을 나타내는 거야?,0
스크린타임이 뭔지 궁금해,0
그런데 스크린타임이 뭐야?,0
근데 스크린타임이 뭐야?,0
스크린타임이라는 걸 들어본 적이 없는데 뭐야?,0
스크린타임에 대해 잘 몰라. 알려줄 수 있어?,0
스크린타임 설명 좀,0
스크린타임이라는 말이 나왔는데 그게 뭐야?,0
스크린타임이 뭔지 알려줘,0
그럼 스크린타임은 뭐야?,0
스크린타임의 뜻,0
스크린타임의 정의,0
스크린타임의 의미,0
스크린타임 뜻,0
스크린타임 정의,0
스크린타임 의미,0
스크린타임이 뭔지 설명해줘,0
스크린타임이란 뭔가요?,0
스크린타임이란 어떤거야?,0
스크린타임이란 뭘 뜻하는 거야?,0
스크린타임이란 뭘 말하는 거야?,0
스크린타임이 뭘까?,0
스크린타임?,0
스크린 타임이 뭐야?,0
스크린 타임이 뭐지?,0
스크린 타임이 무슨 뜻이야?,0
스크린 타임이 뭔지 모르겠어,0
스크린 타임의 정의는 뭐야?,0
스크린 타임에 대해서 설명해줘,0
스크린 타임에 대해서 설명해줄래?,0
스크린 타임에 관해서 설명해줘,0
스크린 타임에 관해서 설명해줄래?,0
스크린 타임의 뜻을 모르겠어,0
스크린 타임의 정확한 뜻이 궁금해,0
스크린 타임은 무슨 말이야?,0
스크린 타임이 뭘 의미하는 거야?,0
스크린 타임에 대해서 설명해줘,0
스크린 타임에 대해서 설명해줄래?,0
스크린 타임에 대해서 설명해줄 수 있어?,0
스크린 타임에 대해 자세히 알고 싶어,0
스크린 타임이 어떤 것을 나타내는 거야?,0
스크린 타임이 뭔지 궁금해,0
그런데 스크린 타임이 뭐야?,0
근데 스크린 타임이 뭐야?,0
스크린 타임이라는 걸 들어본 적이 없는데 뭐야?,0
스크린 타임에 대해 잘 몰라. 알려줄 수 있어?,0
스크린 타임 설명 좀,0
스크린 타임이라는 말이 나왔는데 그게 뭐야?,0
스크린 타임이 뭔지 알려줘,0
그럼 스크린 타임은 뭐야?,0
스크린 타임의 뜻,0
스크린 타임의 정의,0
스크린 타임의 의미,0
스크린 타임 뜻,0
스크린 타임 정의,0
스크린 타임 의미,0
스크린 타임이 뭔지 설명해줘,0
스크린 타임이란 뭔가요?,0
스크린 타임이란 어떤거야?,0
스크린 타임이란 뭘 뜻하는 거야?,0
스크린 타임이란 뭘 말하는 거야?,0
스크린 타임이 뭘까?,0
스크린 타임?,0
화면깨우기가 뭐야?,0
화면깨우기가 뭐지?,0
화면깨우기가 무슨 뜻이야?,0
화면깨우기가 뭔지 모르겠어,0
화면깨우기의 정의는 뭐야?,0
화면깨우기에 대해서 설명해줘,0
화면깨우기에 대해서 설명해줄래?,0
화면깨우기에 관해서 설명해줘,0
화면깨우기에 관해서 설명해줄래?,0
화면깨우기의 뜻을 모르겠어,0
화면깨우기의 정확한 뜻이 궁금해,0
화면깨우기는 무슨 말이야?,0
화면깨우기가 뭘 의미하는 거야?,0
화면깨우기에 대해서 설명해줘,0
화면깨우기에 대해서 설명해줄래?,0
화면깨우기에 대해서 설명해줄 수 있어?,0
화면깨우기에 대해 자세히 알고 싶어,0
화면깨우기가 어떤 것을 나타내는 거야?,0
화면깨우기가 뭔지 궁금해,0
그런데 화면깨우기가 뭐야?,0
근데 화면깨우기가 뭐야?,0
화면깨우기라는 걸 들어본 적이 없는데 뭐야?,0
화면깨우기에 대해 잘 몰라. 알려줄 수 있어?,0
화면깨우기 설명 좀,0
화면깨우기라는 말이 나왔는데 그게 뭐야?,0
화면깨우기가 뭔지 알려줘,0
그럼 화면깨우기는 뭐야?,0
화면깨우기의 뜻,0
화면깨우기의 정의,0
화면깨우기의 의미,0
화면깨우기 뜻,0
화면깨우기 정의,0
화면깨우기 의미,0
화면깨우기가 뭔지 설명해줘,0
화면깨우기란 뭔가요?,0
화면깨우기란 어떤거야?,0
화면깨우기란 뭘 뜻하는 거야?,0
화면깨우기란 뭘 말하는 거야?,0
화면깨우기가 뭘까?,0
화면깨우기?,0
화면 깨우기가 뭐야?,0
화면 깨우기가 뭐지?,0
화면 깨우기가 무슨 뜻이야?,0
화면 깨우기가 뭔지 모르겠어,0
화면 깨우기의 정의는 뭐야?,0
화면 깨우기에 대해서 설명해줘,0
화면 깨우기에 대해서 설명해줄래?,0
화면 깨우기에 관해서 설명해줘,0
화면 깨우기에 관해서 설명해줄래?,0
화면 깨우기의 뜻을 모르겠어,0
화면 깨우기의 정확한 뜻이 궁금해,0
화면 깨우기는 무슨 말이야?,0
화면 깨우기가 뭘 의미하는 거야?,0
화면 깨우기에 대해서 설명해줘,0
화면 깨우기에 대해서 설명해줄래?,0
화면 깨우기에 대해서 설명해줄 수 있어?,0
화면 깨우기에 대해 자세히 알고 싶어,0
화면 깨우기가 어떤 것을 나타내는 거야?,0
화면 깨우기가 뭔지 궁금해,0
그런데 화면 깨우기가 뭐야?,0
근데 화면 깨우기가 뭐야?,0
화면 깨우기라는 걸 들어본 적이 없는데 뭐야?,0
화면 깨우기에 대해 잘 몰라. 알려줄 수 있어?,0
화면 깨우기 설명 좀,0
화면 깨우기라는 말이 나왔는데 그게 뭐야?,0
화면 깨우기가 뭔지 알려줘,0
그럼 화면 깨우기는 뭐야?,0
화면 깨우기의 뜻,0
화면 깨우기의 정의,0
화면 깨우기의 의미,0
화면 깨우기 뜻,0
화면 깨우기 정의,0
화면 깨우기 의미,0
화면 깨우기가 뭔지 설명해줘,0
화면 깨우기란 뭔가요?,0
화면 깨우기란 어떤거야?,0
화면 깨우기란 뭘 뜻하는 거야?,0
화면 깨우기란 뭘 말하는 거야?,0
화면 깨우기가 뭘까?,0
화면 깨우기?,0
걸음이 뭐야?,0
걸음이 뭐지?,0
걸음이 무슨 뜻이야?,0
걸음이 뭔지 모르겠어,0
걸음의 정의는 뭐야?,0
걸음에 대해서 설명해줘,0
걸음에 대해서 설명해줄래?,0
걸음에 관해서 설명해줘,0
걸음에 관해서 설명해줄래?,0
걸음의 뜻을 모르겠어,0
걸음의 정확한 뜻이 궁금해,0
걸음은 무슨 말이야?,0
걸음이 뭘 의미하는 거야?,0
걸음에 대해서 설명해줘,0
걸음에 대해서 설명해줄래?,0
걸음에 대해서 설명해줄 수 있어?,0
걸음에 대해 자세히 알고 싶어,0
걸음이 어떤 것을 나타내는 거야?,0
걸음이 뭔지 궁금해,0
그런데 걸음이 뭐야?,0
근데 걸음이 뭐야?,0
걸음라는 걸 들어본 적이 없는데 뭐야?,0
걸음에 대해 잘 몰라. 알려줄 수 있어?,0
걸음 설명 좀,0
걸음라는 말이 나왔는데 그게 뭐야?,0
걸음이 뭔지 알려줘,0
그럼 걸음은 뭐야?,0
걸음의 뜻,0
걸음의 정의,0
걸음의 의미,0
걸음 뜻,0
걸음 정의,0
걸음 의미,0
걸음이 뭔지 설명해줘,0
걸음란 뭔가요?,0
걸음란 어떤거야?,0
걸음란 뭘 뜻하는 거야?,0
걸음란 뭘 말하는 거야?,0
걸음이 뭘까?,0
걸음?,0
밝기가 뭐야?,0
밝기가 뭐지?,0
밝기가 무슨 뜻이야?,0
밝기가 뭔지 모르겠어,0
밝기의 정의는 뭐야?,0
밝기에 대해서 설명해줘,0
밝기에 대해서 설명해줄래?,0
밝기에 관해서 설명해줘,0
밝기에 관해서 설명해줄래?,0
밝기의 뜻을 모르겠어,0
밝기의 정확한 뜻이 궁금해,0
밝기는 무슨 말이야?,0
밝기가 뭘 의미하는 거야?,0
밝기에 대해서 설명해줘,0
밝기에 대해서 설명해줄래?,0
밝기에 대해서 설명해줄 수 있어?,0
밝기에 대해 자세히 알고 싶어,0
밝기가 어떤 것을 나타내는 거야?,0
밝기가 뭔지 궁금해,0
그런데 밝기가 뭐야?,0
근데 밝기가 뭐야?,0
밝기라는 걸 들어본 적이 없는데 뭐야?,0
밝기에 대해 잘 몰라. 알려줄 수 있어?,0
밝기 설명 좀,0
밝기라는 말이 나왔는데 그게 뭐야?,0
밝기가 뭔지 알려줘,0
그럼 밝기는 뭐야?,0
밝기의 뜻,0
밝기의 정의,0
밝기의 의미,0
밝기 뜻,0
밝기 정의,0
밝기 의미,0
밝기가 뭔지 설명해줘,0
밝기란 뭔가요?,0
밝기란 어떤거야?,0
밝기란 뭘 뜻하는 거야?,0
밝기란 뭘 말하는 거야?,0
밝기가 뭘까?,0
밝기?,0
조도가 뭐야?,0
조도가 뭐지?,0
조도가 무슨 뜻이야?,0
조도가 뭔지 모르겠어,0
조도의 정의는 뭐야?,0
조도에 대해서 설명해줘,0
조도에 대해서 설명해줄래?,0
조도에 관해서 설명해줘,0
조도에 관해서 설명해줄래?,0
조도의 뜻을 모르겠어,0
조도의 정확한 뜻이 궁금해,0
조도는 무슨 말이야?,0
조도가 뭘 의미하는 거야?,0
조도에 대해서 설명해줘,0
조도에 대해서 설명해줄래?,0
조도에 대해서 설명해줄 수 있어?,0
조도에 대해 자세히 알고 싶어,0
조도가 어떤 것을 나타내는 거야?,0
조도가 뭔지 궁금해,0
그런데 조도가 뭐야?,0
근데 조도가 뭐야?,0
조도라는 걸 들어본 적이 없는데 뭐야?,0
조도에 대해 잘 몰라. 알려줄 수 있어?,0
조도 설명 좀,0
조도라는 말이 나왔는데 그게 뭐야?,0
조도가 뭔지 알려줘,0
그럼 조도는 뭐야?,0
조도의 뜻,0
조도의 정의,0
조도의 의미,0
조도 뜻,0
조도 정의,0
조도 의미,0
조도가 뭔지 설명해줘,0
조도란 뭔가요?,0
조도란 어떤거야?,0
조도란 뭘 뜻하는 거야?,0
조도란 뭘 말하는 거야?,0
조도가 뭘까?,0
조도?,0
이동경로가 뭐야?,0
이동경로가 뭐지?,0
이동경로가 무슨 뜻이야?,0
이동경로가 뭔지 모르겠어,0
이동경로의 정의는 뭐야?,0
이동경로에 대해서 설명해줘,0
이동경로에 대해서 설명해줄래?,0
이동경로에 관해서 설명해줘,0
이동경로에 관해서 설명해줄래?,0
이동경로의 뜻을 모르겠어,0
이동경로의 정확한 뜻이 궁금해,0
이동경로는 무슨 말이야?,0
이동경로가 뭘 의미하는 거야?,0
이동경로에 대해서 설명해줘,0
이동경로에 대해서 설명해줄래?,0
이동경로에 대해서 설명해줄 수 있어?,0
이동경로에 대해 자세히 알고 싶어,0
이동경로가 어떤 것을 나타내는 거야?,0
이동경로가 뭔지 궁금해,0
그런데 이동경로가 뭐야?,0
근데 이동경로가 뭐야?,0
이동경로라는 걸 들어본 적이 없는데 뭐야?,0
이동경로에 대해 잘 몰라. 알려줄 수 있어?,0
이동경로 설명 좀,0
이동경로라는 말이 나왔는데 그게 뭐야?,0
이동경로가 뭔지 알려줘,0
그럼 이동경로는 뭐야?,0
이동경로의 뜻,0
이동경로의 정의,0
이동경로의 의미,0
이동경로 뜻,0
이동경로 정의,0
이동경로 의미,0
이동경로가 뭔지 설명해줘,0
이동경로란 뭔가요?,0
이동경로란 어떤거야?,0
이동경로란 뭘 뜻하는 거야?,0
이동경로란 뭘 말하는 거야?,0
이동경로가 뭘까?,0
이동경로?,0
이동 경로가 뭐야?,0
이동 경로가 뭐지?,0
이동 경로가 무슨 뜻이야?,0
이동 경로가 뭔지 모르겠어,0
이동 경로의 정의는 뭐야?,0
이동 경로에 대해서 설명해줘,0
이동 경로에 대해서 설명해줄래?,0
이동 경로에 관해서 설명해줘,0
이동 경로에 관해서 설명해줄래?,0
이동 경로의 뜻을 모르겠어,0
이동 경로의 정확한 뜻이 궁금해,0
이동 경로는 무슨 말이야?,0
이동 경로가 뭘 의미하는 거야?,0
이동 경로에 대해서 설명해줘,0
이동 경로에 대해서 설명해줄래?,0
이동 경로에 대해서 설명해줄 수 있어?,0
이동 경로에 대해 자세히 알고 싶어,0
이동 경로가 어떤 것을 나타내는 거야?,0
이동 경로가 뭔지 궁금해,0
그런데 이동 경로가 뭐야?,0
근데 이동 경로가 뭐야?,0
이동 경로라는 걸 들어본 적이 없는데 뭐야?,0
이동 경로에 대해 잘 몰라. 알려줄 수 있어?,0
이동 경로 설명 좀,0
이동 경로라는 말이 나왔는데 그게 뭐야?,0
이동 경로가 뭔지 알려줘,0
그럼 이동 경로는 뭐야?,0
이동 경로의 뜻,0
이동 경로의 정의,0
이동 경로의 의미,0
이동 경로 뜻,0
이동 경로 정의,0
이동 경로 의미,0
이동 경로가 뭔지 설명해줘,0
이동 경로란 뭔가요?,0
이동 경로란 어떤거야?,0
이동 경로란 뭘 뜻하는 거야?,0
이동 경로란 뭘 말하는 거야?,0
이동 경로가 뭘까?,0
이동 경로?,0
행복점수가 뭐야?,0
행복점수가 뭐지?,0
행복점수가 무슨 뜻이야?,0
행복점수가 뭔지 모르겠어,0
행복점수의 정의는 뭐야?,0
행복점수에 대해서 설명해줘,0
행복점수에 대해서 설명해줄래?,0
행복점수에 관해서 설명해줘,0
행복점수에 관해서 설명해줄래?,0
행복점수의 뜻을 모르겠어,0
행복점수의 정확한 뜻이 궁금해,0
행복점수는 무슨 말이야?,0
행복점수가 뭘 의미하는 거야?,0
행복점수에 대해서 설명해줘,0
행복점수에 대해서 설명해줄래?,0
행복점수에 대해서 설명해줄 수 있어?,0
행복점수에 대해 자세히 알고 싶어,0
행복점수가 어떤 것을 나타내는 거야?,0
행복점수가 뭔지 궁금해,0
그런데 행복점수가 뭐야?,0
근데 행복점수가 뭐야?,0
행복점수라는 걸 들어본 적이 없는데 뭐야?,0
행복점수에 대해 잘 몰라. 알려줄 수 있어?,0
행복점수 설명 좀,0
행복점수라는 말이 나왔는데 그게 뭐야?,0
행복점수가 뭔지 알려줘,0
그럼 행복점수는 뭐야?,0
