query,intent
어제 활동량 보여줘.,0
어제 활동량 보여주세요.,0
어제 활동량 보여줄래?,0
어제 활동량 보고싶어.,0
어제 활동량 궁금해.,0
어제 활동량 알고싶어.,0
어제 활동량 알려줘.,0
어제 활동량 알려주세요.,0
어제 활동량이 궁금하네.,0
어제 활동량.,0
최근 2일의 활동량 변화 보여줘.,0
최근 2일의 활동량 변화 보여주세요.,0
최근 2일의 활동량 변화 보여줄래?,0
최근 2일의 활동량 변화 보고싶어.,0
최근 2일의 활동량 변화 궁금해.,0
최근 2일의 활동량 변화 알고싶어.,0
최근 2일의 활동량 변화 알려줘.,0
최근 2일의 활동량 변화 알려주세요.,0
최근 2일의 활동량 변화가 궁금하네.,0
2일 전 활동량 보여줘.,0
2일 전 활동량 보여주세요.,0
2일 전 활동량 보여줄래?,0
2일 전 활동량 보고싶어.,0
2일 전 활동량 궁금해.,0
2일 전 활동량 알고싶어.,0
2일 전 활동량 알려줘.,0
2일 전 활동량 알려주세요.,0
2일 전 활동량이 궁금하네.,0
2일 전 활동량 변화.,0
2일 전 활동량.,0
2일 전이랑 지금이랑 활동량이 어떻게 달라졌는지 알고싶어.,0
2일 전과 지금 활동량 어떻게 달라졌어?,0
2일 전과 지금 활동량 변화 알려줘.,0
최근 3일의 활동량 변화 보여줘.,0
최근 3일의 활동량 변화 보여주세요.,0
최근 3일의 활동량 변화 보여줄래?,0
최근 3일의 활동량 변화 보고싶어.,0
최근 3일의 활동량 변화 궁금해.,0
최근 3일의 활동량 변화 알고싶어.,0
최근 3일의 활동량 변화 알려줘.,0
최근 3일의 활동량 변화 알려주세요.,0
최근 3일의 활동량이 궁금하네.,0
3일 전 활동량 보여줘.,0
3일 전 활동량 보여주세요.,0
3일 전 활동량 보여줄래?,0
3일 전 활동량 보고싶어.,0
3일 전 활동량 궁금해.,0
3일 전 활동량 알고싶어.,0
3일 전 활동량 알려줘.,0
3일 전 활동량 알려주세요.,0
3일 전 활동량이 궁금하네.,0
3일 전 활동량 변화.,0
3일 전 활동량.,0
3일 전이랑 지금이랑 활동량이 어떻게 달라졌는지 알고싶어.,0
3일 전과 지금 활동량 어떻게 달라졌어?,0
3일 전과 지금 활동량 변화 알려줘.,0
최근 4일의 활동량 변화 보여줘.,0
최근 4일의 활동량 변화 보여주세요.,0
최근 4일의 활동량 변화 보여줄래?,0
최근 4일의 활동량 변화 보고싶어.,0
최근 4일의 활동량 변화 궁금해.,0
최근 4일의 활동량 변화 알고싶어.,0
최근 4일의 활동량 변화 알려줘.,0
최근 4일의 활동량 변화 알려주세요.,0
최근 4일의 활동량이 궁금하네.,0
4일 전 활동량 보여줘.,0
4일 전 활동량 보여주세요.,0
4일 전 활동량 보여줄래?,0
4일 전 활동량 보고싶어.,0
4일 전 활동량 궁금해.,0
4일 전 활동량 알고싶어.,0
4일 전 활동량 알려줘.,0
4일 전 활동량 알려주세요.,0
4일 전 활동량이 궁금하네.,0
4일 전 활동량 변화.,0
4일 전 활동량.,0
4일 전이랑 지금이랑 활동량이 어떻게 달라졌는지 알고싶어.,0
4일 전과 지금 활동량 어떻게 달라졌어?,0
4일 전과 지금 활동량 변화 알려줘.,0
최근 5일의 활동량 변화 보여줘.,0
최근 5일의 활동량 변화 보여주세요.,0
최근 5일의 활동량 변화 보여줄래?,0
최근 5일의 활동량 변화 보고싶어.,0
최근 5일의 활동량 변화 궁금해.,0
최근 5일의 활동량 변화 알고싶어.,0
최근 5일의 활동량 변화 알려줘.,0
최근 5일의 활동량 변화 알려주세요.,0
최근 5일의 활동량이 궁금하네.,0
5일 전 활동량 보여줘.,0
5일 전 활동량 보여주세요.,0
5일 전 활동량 보여줄래?,0
5일 전 활동량 보고싶어.,0
5일 전 활동량 궁금해.,0
5일 전 활동량 알고싶어.,0
5일 전 활동량 알려줘.,0
5일 전 활동량 알려주세요.,0
5일 전 활동량이 궁금하네.,0
5일 전 활동량 변화.,0
5일 전 활동량.,0
5일 전이랑 지금이랑 활동량이 어떻게 달라졌는지 알고싶어.,0
5일 전과 지금 활동량 어떻게 달라졌어?,0
5일 전과 지금 활동량 변화 알려줘.,0
최근 6일의 활동량 변화 보여줘.,0
최근 6일의 활동량 변화 보여주세요.,0
최근 6일의 활동량 변화 보여줄래?,0
최근 6일의 활동량 변화 보고싶어.,0
최근 6일의 활동량 변화 궁금해.,0
최근 6일의 활동량 변화 알고싶어.,0
최근 6일의 활동량 변화 알려줘.,0
최근 6일의 활동량 변화 알려주세요.,0
최근 6일의 활동량이 궁금하네.,0
6일 전 활동량 보여줘.,0
6일 전 활동량 보여주세요.,0
6일 전 활동량 보여줄래?,0
6일 전 활동량 보고싶어.,0
6일 전 활동량 궁금해.,0
6일 전 활동량 알고싶어.,0
6일 전 활동량 알려줘.,0
6일 전 활동량 알려주세요.,0
6일 전 활동량이 궁금하네.,0
6일 전 활동량 변화.,0
6일 전 활동량.,0
6일 전이랑 지금이랑 활동량이 어떻게 달라졌는지 알고싶어.,0
6일 전과 지금 활동량 어떻게 달라졌어?,0
6일 전과 지금 활동량 변화 알려줘.,0
지난 일주일의 활동량 변화 보여줘.,0
지난 일주일의 활동량 변화 보여주세요.,0
지난 일주일의 활동량 변화 보여줄래?,0
지난 일주일의 활동량 변화 보고싶어.,0
지난 일주일의 활동량 변화 궁금해.,0
지난 일주일의 활동량 변화 알고싶어.,0
지난 일주일의 활동량 변화 알려줘.,0
